Fecha,Fecha_scrap,Strike,Vol_call,Vol_put
2024-05-03,2024-05-03,8900.0,,
2024-05-03,2024-05-03,9000.0,,
2024-05-03,2024-05-03,9100.0,,
2024-05-03,2024-05-03,9200.0,,
2024-05-03,2024-05-03,9300.0,,
2024-05-03,2024-05-03,9400.0,,
2024-05-03,2024-05-03,9500.0,,
2024-05-03,2024-05-03,9600.0,,
2024-05-03,2024-05-03,9700.0,,
2024-05-03,2024-05-03,9750.0,,
2024-05-03,2024-05-03,9800.0,,
2024-05-03,2024-05-03,9850.0,,
2024-05-03,2024-05-03,9900.0,,
2024-05-03,2024-05-03,9950.0,,
2024-05-03,2024-05-03,10000.0,,
2024-05-03,2024-05-03,10050.0,,
2024-05-03,2024-05-03,10100.0,,
2024-05-03,2024-05-03,10150.0,,
2024-05-03,2024-05-03,10200.0,,
2024-05-03,2024-05-03,10250.0,,
2024-05-03,2024-05-03,10300.0,,
2024-05-03,2024-05-03,10325.0,,
2024-05-03,2024-05-03,10350.0,,
2024-05-03,2024-05-03,10375.0,,
2024-05-03,2024-05-03,10400.0,,
2024-05-03,2024-05-03,10425.0,,
2024-05-03,2024-05-03,10450.0,,
2024-05-03,2024-05-03,10475.0,,
2024-05-03,2024-05-03,10500.0,,
2024-05-03,2024-05-03,10525.0,,
2024-05-03,2024-05-03,10550.0,,
2024-05-03,2024-05-03,10575.0,,
2024-05-03,2024-05-03,10600.0,,
2024-05-03,2024-05-03,10625.0,,
2024-05-03,2024-05-03,10650.0,,
2024-05-03,2024-05-03,10675.0,,
2024-05-03,2024-05-03,10700.0,,
2024-05-03,2024-05-03,10725.0,,
2024-05-03,2024-05-03,10750.0,,
2024-05-03,2024-05-03,10775.0,,
2024-05-03,2024-05-03,10800.0,,
2024-05-03,2024-05-03,10825.0,,
2024-05-03,2024-05-03,10850.0,,
2024-05-03,2024-05-03,10875.0,,
2024-05-03,2024-05-03,10900.0,,
2024-05-03,2024-05-03,10925.0,,
2024-05-03,2024-05-03,10950.0,,
2024-05-03,2024-05-03,10975.0,,
2024-05-03,2024-05-03,11000.0,,
2024-05-03,2024-05-03,11025.0,,
2024-05-03,2024-05-03,11050.0,,
2024-05-03,2024-05-03,11075.0,,
2024-05-03,2024-05-03,11100.0,,
2024-05-03,2024-05-03,11125.0,,
2024-05-03,2024-05-03,11150.0,,
2024-05-03,2024-05-03,11175.0,,
2024-05-03,2024-05-03,11200.0,,
2024-05-03,2024-05-03,11225.0,,
2024-05-03,2024-05-03,11250.0,,
2024-05-03,2024-05-03,11275.0,,
2024-05-03,2024-05-03,11300.0,,
2024-05-03,2024-05-03,11325.0,,
2024-05-03,2024-05-03,11350.0,,
2024-05-03,2024-05-03,11375.0,,
2024-05-03,2024-05-03,11400.0,,
2024-05-03,2024-05-03,11425.0,,
2024-05-03,2024-05-03,11450.0,,
2024-05-03,2024-05-03,11475.0,,
2024-05-03,2024-05-03,11500.0,,
2024-05-03,2024-05-03,11525.0,,
2024-05-03,2024-05-03,11550.0,,
2024-05-03,2024-05-03,11575.0,,
2024-05-03,2024-05-03,11600.0,,
2024-05-03,2024-05-03,11625.0,,
2024-05-03,2024-05-03,11650.0,,
2024-05-03,2024-05-03,11700.0,,
2024-05-03,2024-05-03,11750.0,,
2024-05-03,2024-05-03,11800.0,,
2024-05-03,2024-05-03,11850.0,,
2024-05-03,2024-05-03,11900.0,,
2024-05-03,2024-05-03,12000.0,,
2024-05-03,2024-05-03,12100.0,,
2024-05-03,2024-05-03,12200.0,,
2024-05-03,2024-05-03,12300.0,,
2024-05-03,2024-05-03,12400.0,,
2024-05-03,2024-05-03,12500.0,,
2024-05-03,2024-05-03,12600.0,,
2024-05-03,2024-05-03,12700.0,,
2024-05-10,2024-05-03,8900.0,0.5921360336905854,0.670945322191175
2024-05-10,2024-05-03,9000.0,0.5625907477976915,0.6382427813761079
2024-05-10,2024-05-03,9100.0,0.5332421160792333,0.6057373342418493
2024-05-10,2024-05-03,9200.0,0.5040756303409782,0.5734114744298933
2024-05-10,2024-05-03,9300.0,,0.5412465001354976
2024-05-10,2024-05-03,9400.0,0.4462264388075639,0.5092221944472419
2024-05-10,2024-05-03,9500.0,0.4175092929069219,0.4773164142634284
2024-05-10,2024-05-03,9600.0,0.3889046932340828,0.4455045515377983
2024-05-10,2024-05-03,9700.0,0.3603904814313177,0.413758812324411
2024-05-10,2024-05-03,9750.0,,0.397900946663646
2024-05-10,2024-05-03,9800.0,,0.3820472291773816
2024-05-10,2024-05-03,9850.0,0.336913314402281,0.366192784636629
2024-05-10,2024-05-03,9900.0,0.3220376775630436,0.3503322717024811
2024-05-10,2024-05-03,9950.0,0.307157563523263,0.3344598004035305
2024-05-10,2024-05-03,10000.0,,0.318568830185258
2024-05-10,2024-05-03,10050.0,,0.302652042536964
2024-05-10,2024-05-03,10100.0,0.2750045278041318,0.2867011799177749
2024-05-10,2024-05-03,10150.0,0.2474686466250173,0.2707068392334689
2024-05-10,2024-05-03,10200.0,0.2324659664047032,0.2546582029685991
2024-05-10,2024-05-03,10250.0,0.2283382090954534,0.2385426830180139
2024-05-10,2024-05-03,10300.0,0.2215196190580091,0.2223454394429194
2024-05-10,2024-05-03,10325.0,0.2134067898974709,0.2056965739670196
2024-05-10,2024-05-03,10350.0,0.1968796469928831,0.1931708289843418
2024-05-10,2024-05-03,10375.0,0.1970968872603269,0.1853536618073648
2024-05-10,2024-05-03,10400.0,0.2023202794827447,0.1858570238865211
2024-05-10,2024-05-03,10425.0,0.187467336599009,0.1848251581447431
2024-05-10,2024-05-03,10450.0,0.1957674043447919,0.1826366157041559
2024-05-10,2024-05-03,10475.0,0.1816302475760433,0.1795184977678877
2024-05-10,2024-05-03,10500.0,0.177538308969103,0.1756174345201982
2024-05-10,2024-05-03,10525.0,0.1770539174088005,0.1710323900463881
2024-05-10,2024-05-03,10550.0,,0.1717857313707375
2024-05-10,2024-05-03,10575.0,,0.1725577677609801
2024-05-10,2024-05-03,10600.0,0.1713482389248216,0.1654346240480546
